Company,Result 1,Result 2,Result 3,Result 4,URL
三菱アルミニウム,-,-,-,-,https://www.google.com/search?q=三菱アルミニウム+API
三菱ケミカルホールディングス,-,-,-,-,https://www.google.com/search?q=三菱ケミカルホールディングス+API
三菱化工機,-,-,-,-,https://www.google.com/search?q=三菱化工機+API
三菱ガス化学,-,-,-,-,https://www.google.com/search?q=三菱ガス化学+API
三菱地所,http://www.mec.co.jp/j/news/archives/mec161017_finolab_renewal.pdf,http://www.mec.co.jp/j/news/archives/mec190326_livesmart.pdf,https://www.weeklybcn.com/journal/news/detail/20170222_13442.html,,https://www.google.com/search?q=三菱地所+API
三菱自動車工業,http://ev-support.mitsubishi-motors.co.jp/service/ev_app.html,https://monoist.atmarkit.co.jp/mn/articles/1904/02/news045.html,https://device-webapi.org/event/20160407/downloads/smarthouse.pdf,https://www.ibm.com/jp-ja/case-studies/mitsubishi-motors,https://www.google.com/search?q=三菱自動車工業+API
三菱重工業,https://uhuru.co.jp/news/press-releases/20151202/,https://www.mhi.com/jp/expertise/,https://www.mhi.com/jp/,https://www.fujitsu.com/jp/documents/solutions/industry/manufacturing/monozukuri-total-support/colmina/colmina-casestudies-MitsubishiHeavyIndustries.pdf,https://www.google.com/search?q=三菱重工業+API
三菱商事,https://innovation.mufg.jp/api/,https://www.api-c.co.jp/members,https://www.intra-mart.jp/case-study/work/005130.html,https://www.mitsubishicorp.com/jp/ja/about/,https://www.google.com/search?q=三菱商事+API
三菱製鋼,-,-,-,-,https://www.google.com/search?q=三菱製鋼+API
三菱製紙,-,-,-,-,https://www.google.com/search?q=三菱製紙+API
三菱倉庫,-,-,-,-,https://www.google.com/search?q=三菱倉庫+API
三菱総合研究所,https://www.mri.co.jp/news/press/public_office/021455.html,https://www.mri.co.jp/news/press/teigen/2012/002194.html,http://platinum.mri.co.jp/seminar/project/p65-ai-20180823,https://www.mri.co.jp/opinion/column/safety_biz/sb_20181127.html,https://www.google.com/search?q=三菱総合研究所+API
三菱電機,http://www.mitsubishielectric.co.jp/meltopia/backnumber/2015/01/case03.html,http://www.mitsubishielectric.co.jp/meltopia/backnumber/2016/11/case05.html,http://www.mitsubishielectric.co.jp/security/solve/hint/2016/1207b.html,https://news.mynavi.jp/article/20160722-a213/,https://www.google.com/search?q=三菱電機+API
三菱UFJ銀行,https://direct.bk.mufg.jp/btm/ser_naiyo/api.html,https://innovation.mufg.jp/api/,https://developer.portal.bk.mufg.jp/,https://innovation.mufg.jp/detail/id=73,https://www.google.com/search?q=三菱UFJ銀行+API
三菱ふそうトラック・バス,https://www.mitsubishi-fuso.com/oa/jp/news/news_content/130426/130426.html,https://www.cisco.com/c/dam/global/ja_jp/about/case-studies-customer-success-stories/pdf/1403-mitsubishi-fuso.pdf,https://prtimes.jp/main/html/rd/p/000000056.000005670.html,https://response.jp/article/2018/11/04/315780.html,https://www.google.com/search?q=三菱ふそうトラック・バス+API
三菱マテリアル,http://www.mitsubishicarbide.net/mmc/ja/threading/,http://www.mitsubishicarbide.net/webcatalog/OMB06F001BLogic.do?mkt_rykshu=mmc&gng_rykshu=ja&ctgr_rykshu=turning_inserts&srs_id=10000176&sihn_id=20058137&zish_di_bnri_cd=01&tlng_sht_disp_flg=1,https://www.amazon.co.jp/%E4%B8%89%E8%8F%B1%E3%83%9E%E3%83%86%E3%83%AA%E3%82%A2%E3%83%AB-API%E3%83%90%E3%83%83%E3%83%88%E3%83%AC%E3%82%B9%E3%82%A4%E3%83%B3%E3%82%B5%E3%83%BC%E3%83%88-MMT22IR050APBU-VP10MF-%E3%80%905%E5%80%8B%E5%85%A5%E3%82%8A%E3%80%91/dp/B0183D25OY,https://www.houjin-bangou.nta.go.jp/,https://www.google.com/search?q=三菱マテリアル+API
三菱UFJ証券ホールディングス,-,-,-,-,https://www.google.com/search?q=三菱UFJ証券ホールディングス+API
三菱UFJ信託銀行,https://www.tr.mufg.jp/ippan/topics/pdf/180228.pdf,https://www.am.mufg.jp/tool/webapi/,https://www.bk.mufg.jp/ippan/law/dendaigyousha/houshin.html,https://www.bk.mufg.jp/ippan/law/dendaigyousha/keiyaku.html,https://www.google.com/search?q=三菱UFJ信託銀行+API
AGC,https://www.agc-chemicals.com/jp/en/products/detail/index.html?pCode=JP-EN-L004,https://www.agc.com/news/detail/1198403_2148.html,http://www.pharmtech.com/agc-expand-chemical-and-api-capacity,https://www.dcatvci.org/supplier-news/5592-agc-to-expand-chemical-api-capacity,https://www.google.com/search?q=AGC+API
キリンホールディングス,-,-,-,-,https://www.google.com/search?q=キリンホールディングス+API
JXTGホールディングス,http://www.nks.jx-group.co.jp/environment/setsubi.html,http://www.ullet.com/%EF%BC%AA%EF%BC%B8%EF%BC%B4%EF%BC%A7%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9/%E6%A6%82%E8%A6%81/type/task,http://www.ullet.com/%EF%BC%AA%EF%BC%B8%EF%BC%B4%EF%BC%A7%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9/%E6%A6%82%E8%A6%81/type/equip,https://www.noe.jxtg-group.co.jp/business/lubricants/automotive/,https://www.google.com/search?q=JXTGホールディングス+API
東京海上ホールディングス,https://www.tokiomarine-nichido.co.jp/company/release/pdf/171019_01.pdf,https://www.tabikobo.com/company/news/press/2019/06/190604,https://www.tokiomarinehd.com/release_topics/release/dhgn2a000000h6hl-att/181002_j.pdf,https://www.fintechjapan.org/wp-content/uploads/2018/PDF/%E4%BF%9D%E9%99%BA%E5%88%86%E7%A7%91%E4%BC%9A%E8%B3%87%E6%96%99/%E7%AC%AC3%E5%9B%9E%E4%BF%9D%E9%99%BA%E5%88%86%E7%A7%91%E4%BC%9A_%E6%9D%B1%E4%BA%AC%E6%B5%B7%E4%B8%8A%E6%97%A5%E5%8B%95%E7%81%AB%E7%81%BD%E4%BF%9D%E9%99%BA.pdf,https://www.google.com/search?q=東京海上ホールディングス+API
ニコン,https://sdk.nikonimaging.com/apply/,http://quwans.blogspot.com/,http://quwans.blogspot.com/2015/11/blog-post.html,https://www.nikon-image.com/products/software_app/app/,https://www.google.com/search?q=ニコン+API
日本郵船,-,-,-,-,https://www.google.com/search?q=日本郵船+API
ピーエス三菱,-,-,-,-,https://www.google.com/search?q=ピーエス三菱+API
明治安田生命保険,https://www.yano.co.jp/market_reports/C60109400,https://www.yano.co.jp/market_reports/C59102600,https://www.ibm.com/blogs/solutions/jp-ja/meijiyasuda-bpm-usecase/,https://japan.zdnet.com/article/35138039/,https://www.google.com/search?q=明治安田生命保険+API
三菱ケミカル,http://www.api-corp.co.jp/,https://www.mitsubishi.com/php/users/category_result_info.php?lang=2&click_id=07&company_id=00000750,https://job.mynavi.jp/20/pc/search/corp88119/outline.html,https://kotobank.jp/word/%E3%82%A8%E3%83%BC%E3%83%94%E3%83%BC%E3%82%A2%E3%82%A4%E3%82%B3%E3%83%BC%E3%83%9D%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3-1452943,https://www.google.com/search?q=三菱ケミカル+API
三菱オートリース,-,-,-,-,https://www.google.com/search?q=三菱オートリース+API
三菱鉱石輸送,-,-,-,-,https://www.google.com/search?q=三菱鉱石輸送+API
三菱食品,-,-,-,-,https://www.google.com/search?q=三菱食品+API
三菱スペース・ソフトウエア,-,-,-,-,https://www.google.com/search?q=三菱スペース・ソフトウエア+API
三菱プレシジョン,https://www.mpcnet.co.jp/product/parking/system/lisencenumber.html,https://www.mpcnet.co.jp/product/parking/catalog/pdf/parkingsystem.pdf,https://www.mpcnet.co.jp/product/parking/demoroom/index.html,http://www.mpcnet.co.jp/activities/,https://www.google.com/search?q=三菱プレシジョン+API
三菱UFJニコス,https://innovation.mufg.jp/api/,https://direct.bk.mufg.jp/btm/ser_naiyo/api.html,https://developer.portal.bk.mufg.jp/,https://www.sankeibiz.jp/business/news/180314/prl1803141602132-n1.htm,https://www.google.com/search?q=三菱UFJニコス+API
三菱UFJリース,-,-,-,-,https://www.google.com/search?q=三菱UFJリース+API
アストモスエネルギー,-,-,-,-,https://www.google.com/search?q=アストモスエネルギー+API
大日本塗料,-,-,-,-,https://www.google.com/search?q=大日本塗料+API
日本タタ・コンサルタンシー・サービシズ,https://www.tcs.com/jp-ja/BFS_MachineFirst,https://www.tcs.com/jp-ja/BlockChain,https://www.tcs.com/jp-ja/1220_TCS_BaNCS_MUFG,https://www.tcs.com/jp-ja/home,https://www.google.com/search?q=日本タタ・コンサルタンシー・サービシズ+API
ローソン,https://techwave.jp/archives/hackalawson2013.html,https://qiita.com/yo_C_ta/items/6d92d50abb4258c27397,http://www.lawson.co.jp/company/news/066658/,https://eczine.jp/news/detail/4527,https://www.google.com/search?q=ローソン+API